Month,Country,Download Mbps,Upload Mbps,Latency ms,Jitter
2020-10-01,Haiti,14.22,12.41,25,42
2020-11-01,Haiti,12.56,11.94,26,42
2020-12-01,Haiti,13.62,12.61,27,38
2021-01-01,Haiti,13.51,11.5,27,44
2021-02-01,Haiti,13.45,12.7,28,44
2021-03-01,Haiti,12.98,12.12,27,49
2021-04-01,Haiti,13.98,12.19,29,56
2021-05-01,Haiti,15.03,12.66,25,44
2021-06-01,Haiti,18.33,13.52,29,44
2021-07-01,Haiti,15.2,13.44,32,60
2021-08-01,Haiti,14.93,12.52,30,46
2021-09-01,Haiti,20.67,13.52,26,39
2021-10-01,Haiti,20.83,12.45,27,45
2020-10-01,Jamaica,36.05,14.25,29,42
2020-11-01,Jamaica,36.39,14.54,30,44
2020-12-01,Jamaica,37.8,14.67,34,45
2021-01-01,Jamaica,36.23,15.57,29,40
2021-02-01,Jamaica,34.96,15.55,28,39
2021-03-01,Jamaica,37.2,17.2,27,39
2021-04-01,Jamaica,38.08,17.92,30,42
2021-05-01,Jamaica,38.14,17.96,26,37
2021-06-01,Jamaica,40.43,19.5,24,34
2021-07-01,Jamaica,40.19,19.86,25,36
2021-08-01,Jamaica,40.0,20.38,26,37
2021-09-01,Jamaica,37.84,22.73,28,60
2021-10-01,Jamaica,41.06,23.2,23,35
2020-10-01,Suriname,12.16,5.14,50,41
2020-11-01,Suriname,12.33,5.09,47,40
2020-12-01,Suriname,11.83,4.39,44,44
2021-01-01,Suriname,12.47,4.92,36,40
2021-02-01,Suriname,13.77,6.24,36,43
2021-03-01,Suriname,15.86,9.16,34,43
2021-04-01,Suriname,15.78,8.75,34,48
2021-05-01,Suriname,14.37,6.82,33,39
2021-06-01,Suriname,14.1,6.05,36,36
2021-07-01,Suriname,15.1,7.41,29,33
2021-08-01,Suriname,14.93,6.91,29,35
2021-09-01,Suriname,15.93,8.75,32,35
2021-10-01,Suriname,15.83,8.15,28,39
2020-10-01,Trinidad and Tobago,68.53,37.62,14,19
2020-11-01,Trinidad and Tobago,71.73,41.25,13,19
2020-12-01,Trinidad and Tobago,76.39,41.49,13,17
2021-01-01,Trinidad and Tobago,74.76,42.29,13,18
2021-02-01,Trinidad and Tobago,77.57,40.97,14,18
2021-03-01,Trinidad and Tobago,79.31,43.61,13,16
2021-04-01,Trinidad and Tobago,79.95,42.31,13,18
2021-05-01,Trinidad and Tobago,83.64,42.03,14,19
2021-06-01,Trinidad and Tobago,85.13,45.08,13,21
2021-07-01,Trinidad and Tobago,89.61,44.67,13,19
2021-08-01,Trinidad and Tobago,87.42,43.33,13,18
2021-09-01,Trinidad and Tobago,85.8,44.93,14,20
2021-10-01,Trinidad and Tobago,87.64,45.55,13,18
