Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,updt
Anguilla,,1229.0,1391.0,1648.0,1456.0,2218.0,2839.0,3300.0,3653.0,3753.0,3789.0,3947.0,4100.0,4300.0,4400.0,5000.0,,,,,,24 Oct 2021
Antigua and Barbuda,,,,,1662.0,5801.0,1541.0,2266.0,4986.0,16014.0,7119.0,6000.0,13070.0,15647.0,10754.0,10000.0,9261.0,9000.0,,,,24 Oct 2021
Bahamas,,4139.0,7540.0,10941.0,12803.0,13382.0,16591.0,20500.0,25500.0,31589.0,24702.0,15496.0,77930.0,72490.0,77168.0,81018.0,85128.0,86868.0,81208.0,82295.0,,24 Oct 2021
Barbados,,,,27319.0,29630.0,31942.0,38800.0,47133.0,49216.0,57305.0,56190.0,62634.0,66884.0,67798.0,77730.0,78269.0,86887.0,89340.0,89340.0,106803.0,,24 Oct 2021
Belize,,,,940.0,2827.0,5022.0,7245.0,7480.0,8047.0,8340.0,8915.0,9698.0,9973.0,9900.0,9900.0,17379.0,18374.0,19006.0,24658.0,29600.0,,24 Oct 2021
Bermuda,,,,,,18487.0,23643.0,28799.0,33955.0,40000.0,40100.0,,,40100.0,34731.0,30000.0,22797.0,22808.0,,,,24 Oct 2021
British Virgin Islands,,,,,,,,,,7690.0,6879.0,7301.0,7435.0,6182.0,6393.0,6660.0,6218.0,5003.0,4715.0,5929.0,6738.0,24 Oct 2021
Cayman Islands,,,,,,,,,17530.0,18295.0,18852.0,18816.0,19325.0,20335.0,23469.0,27383.0,24535.0,31232.0,,,,24 Oct 2021
Dominica,80.0,175.0,2238.0,2651.0,3253.0,3400.0,4300.0,5000.0,7000.0,7300.0,8311.0,8307.0,8500.0,10667.0,10785.0,15159.0,15487.0,15423.0,11514.0,,,24 Oct 2021
Grenada,,,563.0,,609.0,3222.0,5544.0,7600.0,8954.0,12371.0,14437.0,14674.0,16000.0,18000.0,18811.0,19757.0,20821.0,22235.0,26987.0,25577.0,,24 Oct 2021
Guyana,,,,,,2000.0,,2362.0,5084.0,6823.0,11193.0,20540.0,29981.0,36900.0,45225.0,53687.0,57203.0,64889.0,,,,24 Oct 2021
Haiti,,,,,,,,,,,,,0.0,0.0,0.0,1348.0,1348.0,29900.0,31100.0,31100.0,,24 Oct 2021
Jamaica,,3235.0,9000.0,9000.0,27000.0,45000.0,68243.0,92768.0,97323.0,112201.0,116685.0,118269.0,123046.0,140816.0,151554.0,228890.0,286068.0,239120.0,284756.0,317907.0,385603.0,24 Oct 2021
Montserrat,,,,,,,44.0,50.0,10.0,20.0,50.0,300.0,600.0,1200.0,2700.0,,,,,,,24 Oct 2021
Saint Kitts and Nevis,,,500.0,2000.0,4400.0,6500.0,8800.0,9600.0,11104.0,13000.0,14600.0,12600.0,13000.0,13300.0,14018.0,16376.0,14178.0,29272.0,29272.0,,,24 Oct 2021
Saint Lucia,,,,1400.0,3800.0,7000.0,7176.0,11078.0,15527.0,18586.0,20491.0,21340.0,24573.0,24704.0,28199.0,28426.0,29786.0,31828.0,32265.0,,,24 Oct 2021
Saint Vincent and the Grenadines,,81.0,1086.0,1146.0,1320.0,3647.0,5618.0,7972.0,9364.0,11507.0,12502.0,13249.0,13616.0,14604.0,14716.0,16960.0,21865.0,19273.0,24613.0,22491.0,24494.0,24 Oct 2021
Suriname,,,94.0,216.0,420.0,1107.0,2656.0,4205.0,5756.0,9069.0,15143.0,23160.0,29268.0,37095.0,46400.0,52691.0,71217.0,71217.0,73176.0,80410.0,92270.0,24 Oct 2021
Trinidad and Tobago,,,176.0,884.0,4233.0,10803.0,20613.0,35491.0,85447.0,130057.0,162850.0,172318.0,201410.0,212498.0,248108.0,278522.0,255579.0,326776.0,342200.0,339340.0,375990.0,24 Oct 2021
Turks & Caicos Is.,,,,,,,,,,,,,,,,,,,,,,24 Oct 2021
